biome * ffffff ffffff ffffff
biome 0 ffffff 92af5c 659245
biome 1 ffffff 93aa54 679043
biome 2 ffffff dbc986 b9ab57
biome 3 ffffff 83a751 729a5c
biome 4 ffffff 8da553 56853d
biome 5 ffffff 89a64b 59873c
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 92af5c 659245
biome 8 ffffff dbc986 b9ab57
biome 9 ffffff 92af5c 659245
biome 10 ffffff 95bf59 9bd6b6
biome 11 ffffff 95bf59 9bd6b6
biome 12 ffffff 95bf59 9bd6b6
biome 13 ffffff 95bf59 9bd6b6
biome 14 ffffff 5a8841 517b37
biome 15 ffffff 5a8841 517b37
biome 16 ffffff 93aa54 679043
biome 17 ffffff dbc986 b9ab57
biome 18 ffffff 8da553 56853d
biome 19 ffffff 89a64b 59873c
biome 20 ffffff 83a751 729a5c
biome 21 ffffff 89a64b 59873c
biome 22 ffffff 89a64b 59873c
biome 23 ffffff 89a64b 59873c
biome 24 ffffff 92af5c 659245
biome 25 ffffff 83a751 729a5c
biome 26 ffffff 89a64b 59873c
biome 27 ffffff 89a64b 59873c
biome 28 ffffff 89a64b 59873c
biome 29 ffffff 5a6c2e 56853d
biome 30 ffffff 95bf59 9bd6b6
biome 31 ffffff 95bf59 9bd6b6
biome 32 ffffff 89a64b 59873c
biome 33 ffffff 89a64b 59873c
biome 34 ffffff 83a751 729a5c
biome 35 ffffff dbc986 b9ab57
biome 36 ffffff dbc986 b9ab57
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 95bf59 9bd6b6
biome 41 ffffff 95bf59 9bd6b6
biome 42 ffffff aa8a4e b5a353
biome 43 ffffff a3e053 a3e053
biome 44 ffd932 8baf6b b0e088
biome 45 ffffff d8935f dae579
biome 46 ffffff 9fb771 c9ce65
biome 47 ffffff c9c17f b2c67f
biome 48 ffffff a9ba64 a9ba64
biome 49 ffffff c0d85d 59873c
biome 50 ffffff a3ffaa a3ffaa
biome 51 ffffff 92af5c 659245
biome 52 ffffff 95bf59 9bd6b6
biome 53 0e6a35 dbc986 b9ab57
biome 54 ffffff bca165 bca165
biome 55 a2ad51 66704c 66704c
biome 56 ffffff ad8e41 afa248
biome 57 ffffff bac481 ceb979
biome 58 ffffff 70c441 70c441
biome 59 ffffff abd6bc abd6bc
biome 60 00ff2e 57ed64 57ed64
biome 61 ffffff 74d374 66e266
biome 62 ffffff 7fdb7d 7fdb7d
biome 63 ffffff 609e58 75b569
biome 64 ffffff cec577 aec681
biome 65 ffffff 89a64b 59873c
biome 66 ffffff 7ca568 8acc6a
biome 67 ffffff a1c36d a1c36d
biome 68 ffffff 89a64b 59873c
biome 69 ffffff 92af5c 659245
biome 70 ffffff 89a64b 59873c
biome 71 ffffff 89a64b 59873c
biome 72 ffffff 63b26d 63b26d
biome 73 588276 619365 619365
biome 74 ffffff 89a64b 59873c
biome 75 ff107a 69cfdb 70e099
biome 76 1e1b26 3f4151 3f4151
biome 77 ffffff a2ff5f 3aff00
biome 78 ffffff 89a64b 59873c
biome 79 ffffff c8e580 ade07b
biome 80 ffffff 1ad86c 14e26f
biome 81 ffffff 89a64b 59873c
biome 82 ffffff 00995b 00995b
biome 83 ffffff bec44c b3c442
biome 84 ffffff 647f38 789643
biome 85 ffffff 89a64b 59873c
biome 86 af9200 746429 919134
biome 87 ffffff c49e7d c49e7d
biome 88 ffffff b6d367 bbdd63
biome 89 ffffff a89a77 a5a16d
biome 90 5dff00 c3e041 a5e041
biome 91 ffffff ad8456 bf664e
biome 92 e5ff00 9da078 999e55
biome 93 636084 5a935f 4f9657
biome 94 ffffff a3b74c 8ea621
biome 95 ffffff 89a64b 59873c
biome 96 ffffff 89a64b 59873c
biome 97 ffffff 89a64b 59873c
biome 98 ffffff 89a64b 59873c
biome 99 ffffff 768f45 546e10
biome 100 ffffff 95bf59 9bd6b6
biome 101 ffffff a9ba64 a9ba64
biome 102 ffffff 95bf59 9bd6b6
biome 103 ffffff 63b26d 63b26d
biome 104 ffffff 89a64b 59873c
biome 105 ffffff ccc46c a3bc62
biome 106 cc5100 9e8b69 9e8b69
biome 107 ffffff dbc986 b9ab57
biome 108 ffff77 ccc9ad d7dbb6
